"AE_NAME","GROUP_NAME"
"Hepatitis B surface antibody positive","Others"
"Hepatitis B surface antibody negative","Others"
"X-ray limb","Others"
"X-ray limb normal","Others"
"CSF protein increased","Others"
"Electroencephalogram","Others"
"Electroencephalogram normal","Others"
"Electromyogram abnormal","Others"
"Lumbar puncture","Others"
"Lumbar puncture normal","Others"
"Nuclear magnetic resonance imaging brain","Others"
"Nuclear magnetic resonance imaging brain abnormal","Others"
"Nuclear magnetic resonance imaging brain normal","Others"
"Computerised tomogram head","Others"
"Computerised tomogram head normal","Others"
"Nuclear magnetic resonance imaging spinal abnormal","Others"
"C-reactive protein increased","Others"
"C-reactive protein normal","Others"
"Urine analysis","Others"
"Urine analysis normal","Others"
"Chest X-ray","Others"
"Chest X-ray abnormal","Others"
"Chest X-ray normal","Others"
"Body temperature increased","Others"
"Weight decreased","Others"
"Neurological examination normal","Others"
"Grip strength decreased","Others"
"Decreased appetite","Appetite and general nutritional disorders"
"Dehydration","Electrolyte and fluid balance conditions"
"Oedema","Electrolyte and fluid balance conditions"
"Oedema peripheral","Electrolyte and fluid balance conditions"
"Bone pain","Bone disorders (excl congenital and fractures)"
"Pain in jaw","Bone disorders (excl congenital and fractures)"
"Bursitis","Synovial and bursal disorders"
"Arthralgia","Joint disorders"
"Joint stiffness","Joint disorders"
"Joint swelling","Joint disorders"
"Periarthritis","Joint disorders"
"Rotator cuff syndrome","Joint disorders"
"Joint range of motion decreased","Joint disorders"
"Injection site joint pain","Joint disorders"
"Chills","Muscle disorders"
"Muscle spasms","Muscle disorders"
"Muscle twitching","Muscle disorders"
"Muscular weakness","Muscle disorders"
"Myalgia","Muscle disorders"
"Neuralgic amyotrophy","Muscle disorders"
"Muscle tightness","Muscle disorders"
"Back pain","Musculoskeletal and connective tissue disorders NEC"
"Gait disturbance","Musculoskeletal and connective tissue disorders NEC"
"Musculoskeletal pain","Musculoskeletal and connective tissue disorders NEC"
"Neck pain","Musculoskeletal and connective tissue disorders NEC"
"Pain in extremity","Musculoskeletal and connective tissue disorders NEC"
"Posture abnormal","Musculoskeletal and connective tissue disorders NEC"
"Mobility decreased","Musculoskeletal and connective tissue disorders NEC"
"Dysstasia","Musculoskeletal and connective tissue disorders NEC"
"Contusion","Musculoskeletal and connective tissue disorders NEC"
"Musculoskeletal stiffness","Musculoskeletal and connective tissue disorders NEC"
"Limb discomfort","Musculoskeletal and connective tissue disorders NEC"
"Weight bearing difficulty","Musculoskeletal and connective tissue disorders NEC"
"Tendon disorder","Tendon, ligament and cartilage disorders"
"Tendonitis","Tendon, ligament and cartilage disorders"
"Myelitis transverse","Central nervous system infections and inflammations"
"Tinnitus","Cranial nerve disorders (excl neoplasms)"
"Headache","Headaches"
"Migraine","Headaches"
"Dyskinesia","Movement disorders (incl parkinsonism)"
"Paralysis","Movement disorders (incl parkinsonism)"
"Tremor","Movement disorders (incl parkinsonism)"
"Vision blurred","Neurological disorders of the eye"
"Altered state of consciousness","Neurological disorders NEC"
"Areflexia","Neurological disorders NEC"
"Burning sensation","Neurological disorders NEC"
"Confusional state","Neurological disorders NEC"
"Crying","Neurological disorders NEC"
"Disorientation","Neurological disorders NEC"
"Dizziness","Neurological disorders NEC"
"Dysgeusia","Neurological disorders NEC"
"Dysphonia","Neurological disorders NEC"
"Gait disturbance","Neurological disorders NEC"
"Hypoaesthesia","Neurological disorders NEC"
"Injection site paraesthesia","Neurological disorders NEC"
"Lethargy","Neurological disorders NEC"
"Loss of consciousness","Neurological disorders NEC"
"Neuralgia","Neurological disorders NEC"
"Paraesthesia","Neurological disorders NEC"
"Posture abnormal","Neurological disorders NEC"
"Presyncope","Neurological disorders NEC"
"Sensory disturbance","Neurological disorders NEC"
"Sensory loss","Neurological disorders NEC"
"Somnolence","Neurological disorders NEC"
"Speech disorder","Neurological disorders NEC"
"Syncope","Neurological disorders NEC"
"Tic","Neurological disorders NEC"
"Unresponsive to stimuli","Neurological disorders NEC"
"Vertigo","Neurological disorders NEC"
"Mobility decreased","Neurological disorders NEC"
"Balance disorder","Neurological disorders NEC"
"Dysstasia","Neurological disorders NEC"
"Nerve injury","Neurological disorders NEC"
"Hypoaesthesia oral","Neurological disorders NEC"
"Paraesthesia oral","Neurological disorders NEC"
"Eye movement disorder","Neurological disorders NEC"
"Injection site hypoaesthesia","Neurological disorders NEC"
"Muscular weakness","Neuromuscular disorders"
"Urinary incontinence","Neuromuscular disorders"
"Guillain-Barre syndrome","Peripheral neuropathies"
"Herpes zoster","Peripheral neuropathies"
"Neuralgic amyotrophy","Peripheral neuropathies"
"Febrile convulsion","Seizures (incl subtypes)"
"Generalised tonic-clonic seizure","Seizures (incl subtypes)"
"Seizure","Seizures (incl subtypes)"
"Seizure like phenomena","Seizures (incl subtypes)"
"Insomnia","Sleep disturbances (incl subtypes)"
"Middle insomnia","Sleep disturbances (incl subtypes)"
"Cognitive disorder","Mental impairment disorders"
"Abortion spontaneous","Others"
"Anxiety","Anxiety disorders and symptoms"
"Tic","Changes in physical activity"
"Cognitive disorder","Cognitive and attention disorders and disturbances"
"Dysphonia","Communication disorders and disturbances"
"Speech disorder","Communication disorders and disturbances"
"Confusional state","Deliria (incl confusion)"
"Disorientation","Deliria (incl confusion)"
"Crying","Mood disorders and disturbances NEC"
"Irritability","Mood disorders and disturbances NEC"
"Lethargy","Mood disorders and disturbances NEC"
"Throat tightness","Psychiatric and behavioural symptoms NEC"
"Abnormal behaviour","Psychiatric and behavioural symptoms NEC"
"Altered state of consciousness","Psychiatric disorders NEC"
"Mental status changes","Psychiatric disorders NEC"
"Insomnia","Sleep disorders and disturbances"
"Middle insomnia","Sleep disorders and disturbances"
"Sleep disorder","Sleep disorders and disturbances"
"Somnolence","Sleep disorders and disturbances"
"Urinary incontinence","Urinary tract signs and symptoms"
"Hot flush","Menopause related conditions"
"Asthma","Bronchial disorders (excl neoplasms)"
"Wheezing","Bronchial disorders (excl neoplasms)"
"Influenza","Respiratory tract infections"
"Nasopharyngitis","Respiratory tract infections"
"Pneumonia","Respiratory tract infections"
"Cough","Respiratory disorders NEC"
"Cyanosis","Respiratory disorders NEC"
"Dyspnoea","Respiratory disorders NEC"
"Respiratory tract congestion","Respiratory disorders NEC"
"Angioedema","Upper respiratory tract disorders (excl infections)"
"Epistaxis","Upper respiratory tract disorders (excl infections)"
"Nasal congestion","Upper respiratory tract disorders (excl infections)"
"Pharyngeal oedema","Upper respiratory tract disorders (excl infections)"
"Chest discomfort","Respiratory tract signs and symptoms"
"Chest pain","Respiratory tract signs and symptoms"
"Dysphonia","Respiratory tract signs and symptoms"
"Rhinorrhoea","Respiratory tract signs and symptoms"
"Sneezing","Respiratory tract signs and symptoms"
"Speech disorder","Respiratory tract signs and symptoms"
"Throat irritation","Respiratory tract signs and symptoms"
"Throat tightness","Respiratory tract signs and symptoms"
"Oropharyngeal pain","Respiratory tract signs and symptoms"
"Angioedema","Angioedema and urticaria"
"Eyelid oedema","Angioedema and urticaria"
"Face oedema","Angioedema and urticaria"
"Injection site urticaria","Angioedema and urticaria"
"Lip swelling","Angioedema and urticaria"
"Pharyngeal oedema","Angioedema and urticaria"
"Swelling face","Angioedema and urticaria"
"Swollen tongue","Angioedema and urticaria"
"Urticaria","Angioedema and urticaria"
"Mouth swelling","Angioedema and urticaria"
"Blister","Epidermal and dermal conditions"
"Erythema","Epidermal and dermal conditions"
"Injection site bruising","Epidermal and dermal conditions"
"Injection site erythema","Epidermal and dermal conditions"
"Injection site pruritus","Epidermal and dermal conditions"
"Injection site rash","Epidermal and dermal conditions"
"Injection site vesicles","Epidermal and dermal conditions"
"Pallor","Epidermal and dermal conditions"
"Pruritus","Epidermal and dermal conditions"
"Rash","Epidermal and dermal conditions"
"Rash erythematous","Epidermal and dermal conditions"
"Rash generalised","Epidermal and dermal conditions"
"Rash macular","Epidermal and dermal conditions"
"Rash maculo-papular","Epidermal and dermal conditions"
"Rash pruritic","Epidermal and dermal conditions"
"Rash vesicular","Epidermal and dermal conditions"
"Skin discolouration","Epidermal and dermal conditions"
"Skin exfoliation","Epidermal and dermal conditions"
"Skin lesion","Epidermal and dermal conditions"
"Skin warm","Epidermal and dermal conditions"
"Contusion","Epidermal and dermal conditions"
"Skin tightness","Epidermal and dermal conditions"
"Pruritus generalised","Epidermal and dermal conditions"
"Vaccination site erythema","Epidermal and dermal conditions"
"Injection site nodule","Skin and subcutaneous tissue disorders NEC"
"Cellulitis","Skin and subcutaneous tissue infections and infestations"
"Herpes zoster","Skin and subcutaneous tissue infections and infestations"
"Injection site cellulitis","Skin and subcutaneous tissue infections and infestations"
"Cold sweat","Skin appendage conditions"
"Hyperhidrosis","Skin appendage conditions"
"Night sweats","Skin appendage conditions"
"Flushing","Skin vascular abnormalities"
"Impaired work ability","Lifestyle issues"
"Intensive care","Others"
"Immunoglobulin therapy","Others"
"Peripheral coldness","Arteriosclerosis, stenosis, vascular insufficiency and necrosis"
"Anaphylactic reaction","Decreased and nonspecific blood pressure disorders and shock"
"Dizziness","Decreased and nonspecific blood pressure disorders and shock"
"Hypotension","Decreased and nonspecific blood pressure disorders and shock"
"Presyncope","Decreased and nonspecific blood pressure disorders and shock"
"Syncope","Decreased and nonspecific blood pressure disorders and shock"
"Cyanosis","Vascular disorders NEC"
"Flushing","Vascular disorders NEC"
"Migraine","Vascular disorders NEC"
"Pallor","Vascular disorders NEC"
"Hot flush","Vascular disorders NEC"
"Epistaxis","Vascular haemorrhagic disorders"
"Injection site bruising","Vascular haemorrhagic disorders"
"Injection site haemorrhage","Vascular haemorrhagic disorders"
"Contusion","Vascular haemorrhagic disorders"
"Haemorrhage","Vascular haemorrhagic disorders"
"Hypertension","Vascular hypertensive disorders"
